0,1,2,3,4
00000.png,neutral,0,Woman,asian
00002.png,neutral,0,Woman,black
00004.png,neutral,0,Man,latino hispanic
00006.png,pos,0,Woman,white
00008.png,pos,1,Woman,asian
00010.png,pos,0,Man,latino hispanic
00011.png,pos,1,Man,latino hispanic
00013.png,neutral,1,Woman,asian
00017.png,pos,0,Woman,latino hispanic
00018.png,pos,0,Woman,white
00022.png,pos,1,Man,latino hispanic
00025.png,pos,1,Woman,white
00027.png,pos,0,Man,latino hispanic
00030.png,pos,0,Woman,asian
00034.png,pos,0,Man,latino hispanic
00043.png,neutral,0,Woman,asian
00046.png,pos,0,Man,black
00047.png,pos,0,Woman,black
00052.png,pos,1,Man,latino hispanic
00054.png,pos,0,Woman,asian
00059.png,neutral,0,Woman,white
00060.png,neg,1,Man,black
00062.png,neg,0,Man,white
00063.png,neg,1,Man,white
00066.png,pos,1,Woman,asian
00071.png,pos,0,Woman,latino hispanic
00073.png,pos,0,Woman,white
00076.png,pos,0,Woman,white
00077.png,neutral,0,Woman,latino hispanic
00079.png,pos,1,Woman,white
00081.png,pos,0,Woman,white
00084.png,neg,1,Woman,white
00085.png,neutral,0,Woman,asian
00087.png,pos,0,Woman,white
00089.png,neutral,1,Woman,asian
00091.png,pos,1,Woman,white
00094.png,pos,0,Woman,white
00095.png,pos,0,Woman,white
00097.png,neg,0,Woman,asian
00099.png,pos,0,Woman,asian
00101.png,pos,1,Woman,white
00104.png,pos,0,Man,latino hispanic
00107.png,pos,1,Woman,white
00109.png,neutral,0,Woman,asian
00110.png,pos,0,Woman,asian
00111.png,neutral,1,Woman,white
00112.png,neutral,0,Man,black
00116.png,pos,0,Woman,latino hispanic
00117.png,neg,0,Man,white
00118.png,neutral,0,Woman,asian
00119.png,pos,0,Woman,asian
00120.png,neutral,0,Woman,asian
00121.png,neg,1,Man,white
00122.png,neutral,0,Woman,latino hispanic
00125.png,neg,1,Man,white
00128.png,neutral,0,Woman,asian
00129.png,pos,0,Woman,latino hispanic
00131.png,pos,1,Woman,white
00133.png,pos,0,Man,latino hispanic
00134.png,neutral,0,Woman,white
00136.png,neutral,0,Woman,latino hispanic
00137.png,pos,0,Woman,white
00139.png,pos,0,Woman,asian
00143.png,pos,0,Woman,asian
00147.png,pos,0,Woman,white
00149.png,pos,0,Woman,latino hispanic
00150.png,pos,1,Woman,white
00151.png,pos,0,Woman,white
00153.png,pos,1,Woman,asian
00154.png,neutral,1,Woman,white
00155.png,pos,0,Woman,latino hispanic
00158.png,neutral,0,Woman,white
00159.png,pos,0,Woman,white
00161.png,pos,0,Woman,latino hispanic
00165.png,neutral,1,Woman,white
00166.png,pos,0,Woman,white
00167.png,pos,0,Woman,white
00168.png,neutral,0,Woman,white
00170.png,pos,0,Woman,white
00171.png,pos,0,Woman,white
00173.png,neg,1,Man,white
00174.png,pos,0,Woman,latino hispanic
00178.png,pos,0,Woman,white
00179.png,pos,0,Woman,asian
00180.png,pos,0,Woman,black
00181.png,neg,0,Woman,white
00182.png,pos,0,Woman,asian
00183.png,pos,0,Man,black
00186.png,pos,0,Woman,asian
00187.png,neg,1,Man,white
00192.png,pos,1,Man,latino hispanic
